"entry_id","entry_number","entry_name","entry_type","entry_role","entry_class","entry_status","germplasm_id","nRep"
1,1,"IR19I151","test","",NA,"active",315355012,1
2,2,"IR19N182","test","",NA,"active",391662821,2
3,3,"IR19S110","test","",NA,"active",332301505,1
4,4,"IR19L116","test","",NA,"active",345402902,1
5,5,"IR19Y175","test","",NA,"active",352611670,1
6,6,"IR19D181","test","",NA,"active",365975571,1
7,7,"IR19O191","check","performance check",NA,"active",395646247,5
8,8,"IR19T196","test","",NA,"active",349033117,1
9,9,"IR19G125","test","",NA,"active",398711032,1
10,10,"IR19G163","test","",NA,"active",360657474,2
11,11,"IR19B163","test","",NA,"active",309615066,1
12,12,"IR19E124","test","",NA,"active",321251892,1
13,13,"IR19X193","test","",NA,"active",313677883,1
14,14,"IR19V165","test","",NA,"active",385687181,1
15,15,"IR19J146","test","",NA,"active",352875272,1
16,16,"IR19Y133","test","",NA,"active",306948067,2
17,17,"IR19P145","test","",NA,"active",338171646,1
18,18,"IR19S193","test","",NA,"active",370105588,1
19,19,"IR19C103","test","",NA,"active",311878727,2
20,20,"IR19B154","test","",NA,"active",354676954,1
21,21,"IR19Z183","test","",NA,"active",302961673,1
22,22,"IR19R150","test","",NA,"active",334585870,1
23,23,"IR19B116","test","",NA,"active",371581473,1
24,24,"IR19K198","test","",NA,"active",307784723,2
25,25,"IR19W184","test","",NA,"active",345955549,2
26,26,"IR19R151","test","",NA,"active",327735882,1
27,27,"IR19D177","test","",NA,"active",343325882,2
28,28,"IR19P110","test","",NA,"active",384156437,2
29,29,"IR19V184","check","performance check",NA,"active",328932354,5
30,30,"IR19U103","test","",NA,"active",305384149,2
31,31,"IR19N105","test","",NA,"active",352194019,1
32,32,"IR19C140","test","",NA,"active",311516447,1
33,33,"IR19C190","test","",NA,"active",386933937,2
34,34,"IR19V133","test","",NA,"active",328394634,1
35,35,"IR19K173","test","",NA,"active",301855585,2
36,36,"IR19T200","test","",NA,"active",316978569,1
37,37,"IR19A107","test","",NA,"active",381024699,1
38,38,"IR19X198","test","",NA,"active",348209222,2
39,39,"IR19F180","test","",NA,"active",304021016,1
40,40,"IR19Y129","test","",NA,"active",367081404,1
41,41,"IR19I126","test","",NA,"active",317586627,1
42,42,"IR19Y149","test","",NA,"active",398800035,1
43,43,"IR19M160","test","",NA,"active",330075598,1
44,44,"IR19U117","test","",NA,"active",305687023,1
45,45,"IR19U174","test","",NA,"active",353900473,1
46,46,"IR19J169","test","",NA,"active",345654894,1
47,47,"IR19U160","test","",NA,"active",357576421,1
48,48,"IR19F108","test","",NA,"active",323976650,1
49,49,"IR19S159","test","",NA,"active",354819411,1
50,50,"IR19F169","test","",NA,"active",340943078,2
51,51,"IR19R122","test","",NA,"active",367595762,2
52,52,"IR19Y156","test","",NA,"active",393747080,1
53,53,"IR19M115","test","",NA,"active",301551961,1
54,54,"IR19O186","test","",NA,"active",341152567,1
55,55,"IR19N192","test","",NA,"active",396183802,2
56,56,"IR19A196","test","",NA,"active",337711059,1
57,57,"IR19Z133","test","",NA,"active",359831488,2
58,58,"IR19Y181","test","",NA,"active",391399678,1
59,59,"IR19S169","test","",NA,"active",300537088,2
60,60,"IR19M119","test","",NA,"active",373874523,1
61,61,"IR19O190","test","",NA,"active",338156929,1
62,62,"IR19I122","test","",NA,"active",336224648,1
63,63,"IR19S118","test","",NA,"active",316338392,2
64,64,"IR19K104","test","",NA,"active",315787792,1
65,65,"IR19B108","test","",NA,"active",397163689,1
66,66,"IR19Y151","test","",NA,"active",354408965,1
67,67,"IR19X185","test","",NA,"active",314160128,1
68,68,"IR19I132","test","",NA,"active",382783123,1
69,69,"IR19S125","test","",NA,"active",344610119,1
70,70,"IR19I152","test","",NA,"active",389492314,1
71,71,"IR19X194","test","",NA,"active",340809347,1
72,72,"IR19Y171","test","",NA,"active",394873930,1
73,73,"IR19J185","test","",NA,"active",328923917,2
74,74,"IR19O194","test","",NA,"active",345035234,1
75,75,"IR19F171","test","",NA,"active",354738893,2
76,76,"IR19T119","test","",NA,"active",399575412,1
77,77,"IR19I128","test","",NA,"active",381256849,1
78,78,"IR19Z184","test","",NA,"active",335053521,1
79,79,"IR19M156","test","",NA,"active",380674330,1
80,80,"IR19B130","test","",NA,"active",341325656,1
81,81,"IR19X196","test","",NA,"active",399133606,2
82,82,"IR19L180","test","",NA,"active",365977945,1
83,83,"IR19Q146","test","",NA,"active",340666705,2
84,84,"IR19O137","test","",NA,"active",360242896,1
85,85,"IR19T193","test","",NA,"active",377950111,1
86,86,"IR19X107","test","",NA,"active",398337159,1
87,87,"IR19E128","test","",NA,"active",386296598,1
88,88,"IR19Z144","test","",NA,"active",313617119,1
89,89,"IR19A181","test","",NA,"active",332953090,2
90,90,"IR19N198","test","",NA,"active",390824556,1
91,91,"IR19O126","test","",NA,"active",363062537,1
92,92,"IR19G145","test","",NA,"active",342827158,2
93,93,"IR19K152","test","",NA,"active",380446375,2
94,94,"IR19P200","test","",NA,"active",352113830,1
95,95,"IR19H190","test","",NA,"active",363586222,1
96,96,"IR19D104","test","",NA,"active",369209386,1
97,97,"IR19S103","test","",NA,"active",348223507,1
98,98,"IR19G157","test","",NA,"active",302369147,1
99,99,"IR19X181","test","",NA,"active",336423014,1
100,100,"IR19U131","test","",NA,"active",391899842,1
101,101,"IR19P127","test","",NA,"active",339775752,1
102,102,"IR19P185","test","",NA,"active",345381196,1
103,103,"IR19B104","test","",NA,"active",321371855,1
104,104,"IR19S175","test","",NA,"active",329545357,1
105,105,"IR19B148","test","",NA,"active",366311454,1
106,106,"IR19T128","test","",NA,"active",389079780,1
107,107,"IR19R112","test","",NA,"active",392182353,1
108,108,"IR19P104","test","",NA,"active",321158990,1
109,109,"IR19Y176","test","",NA,"active",387229310,1
110,110,"IR19H162","test","",NA,"active",330606248,1
111,111,"IR19B167","test","",NA,"active",355895350,1
112,112,"IR19B134","test","",NA,"active",368294617,1
113,113,"IR19C105","test","",NA,"active",370606231,1
114,114,"IR19I186","test","",NA,"active",364037182,1
115,115,"IR19A105","test","",NA,"active",360181224,2
116,116,"IR19J122","test","",NA,"active",340788811,1
117,117,"IR19N133","test","",NA,"active",321620542,1
118,118,"IR19Z141","test","",NA,"active",328787974,2
119,119,"IR19Y122","test","",NA,"active",363989375,1
120,120,"IR19N130","test","",NA,"active",356495843,1
121,121,"IR19S190","test","",NA,"active",367359042,1
122,122,"IR19F183","test","",NA,"active",371225329,1
123,123,"IR19Y162","test","",NA,"active",368676816,1
124,124,"IR19N131","test","",NA,"active",395707388,1
125,125,"IR19W122","check","performance check",NA,"active",370689788,5
126,126,"IR19U122","test","",NA,"active",303295356,1
127,127,"IR19A148","test","",NA,"active",384650472,1
128,128,"IR19J174","test","",NA,"active",386399508,1
129,129,"IR19V130","check","performance check",NA,"active",398393270,5
130,130,"IR19L172","test","",NA,"active",345432708,2
131,131,"IR19X159","test","",NA,"active",328002580,1
132,132,"IR19B143","test","",NA,"active",302631950,1
133,133,"IR19O135","test","",NA,"active",350394450,1
134,134,"IR19L193","test","",NA,"active",304214593,1
135,135,"IR19J136","test","",NA,"active",313210220,1
136,136,"IR19F178","test","",NA,"active",369857391,1
137,137,"IR19M130","test","",NA,"active",390872618,2
138,138,"IR19P180","test","",NA,"active",317767809,1
139,139,"IR19G169","test","",NA,"active",349225000,1
140,140,"IR19A197","test","",NA,"active",338436594,1
141,141,"IR19X188","test","",NA,"active",323339951,2
142,142,"IR19D175","test","",NA,"active",315773280,1
143,143,"IR19X129","test","",NA,"active",343064760,1
144,144,"IR19S157","test","",NA,"active",306413286,1
145,145,"IR19Z124","test","",NA,"active",335418473,1
146,146,"IR19J129","test","",NA,"active",326227973,1
147,147,"IR19L156","test","",NA,"active",396302328,1
148,148,"IR19B168","check","performance check",NA,"active",399248222,5
149,149,"IR19C179","test","",NA,"active",383115935,1
150,150,"IR19I104","test","",NA,"active",354031629,1
